Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c$PHOCSParentId__r.Name
0dtbZ00000031MAQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,General Requirements,,Vishwantha Gandloju,General Requirements;The personal service establishment's operation has been reviewed and accepted.;General Requirements,The personal service establishment's operation has been reviewed and accepted.;General Requirements
0dtbZ00000031MBQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",General Requirements,,Vishwantha Gandloju,"General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0dtbZ00000031MCQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,General Requirements,,Vishwantha Gandloju,General Requirements;Food and/or beverage are offered in an acceptable manner to clients.;General Requirements,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements
0dtbZ00000031MDQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzxQAE,Incompatible activity is not present.,General Requirements,,Vishwantha Gandloju,General Requirements;Incompatible activity is not present.;General Requirements,Incompatible activity is not present.;General Requirements
0dtbZ00000031MEQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzyQAE,A first aid kit is available.,General Requirements,,Vishwantha Gandloju,General Requirements;A first aid kit is available.;General Requirements,A first aid kit is available.;General Requirements
0dtbZ00000031MFQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,General Requirements,,Vishwantha Gandloju,General Requirements;Adequate infection control measures are implemented.;General Requirements,Adequate infection control measures are implemented.;General Requirements
0dtbZ00000031MGQAY,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000W00QAE,Adequate personal hygiene is practiced.,General Requirements,,Vishwantha Gandloju,General Requirements;Adequate personal hygiene is practiced.;General Requirements,Adequate personal hygiene is practiced.;General Requirements
0dtbZ00000031NlQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VyHQAU,Construction or alterations has occurred without the review of an Environmental Health Officer.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031NmQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VyIQAU,Construction is not conducive to the hygenic or efficient practices or the services being provided.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031NnQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VyJQAU,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
